Solution_ID,OC_original,OC_fixed,Cost_abs_fixed,Carbon_abs_fixed,Time_abs_fixed,Cost_norm_fixed,Carbon_norm_fixed,Time_norm_fixed,Dominates_S2_fixed
P163,1.0,1.0,18042.518273032583,5300.303204724696,89.80651270097083,0.9840225533335466,0.9876106554777927,0.9562000300769627,True
P164,1.0,1.0,18042.513198863828,5300.3660218910245,89.80853870367045,0.984022276592993,0.9876223602615412,0.9562216016065106,True
P165,1.0,1.0,18042.513479112684,5300.365781707173,89.80839603050214,0.984022291877511,0.9876223155078503,0.9562200825174854,True
P166,1.0,1.0,18042.529763656217,5300.240303452313,89.80001659967888,0.9840231800217193,0.9875989350224812,0.956130863910012,True
P167,1.0,1.0,18042.552599472496,5299.992571201668,89.78726314763296,0.9840244254663907,0.9875527748310747,0.9559950736330807,True
P168,1.0,1.0,18042.552599472496,5299.992571201668,89.78726314763296,0.9840244254663907,0.9875527748310747,0.9559950736330807,True
P169,1.0,1.0,18042.552599472496,5299.992571201668,89.78726314763296,0.9840244254663907,0.9875527748310747,0.9559950736330807,True
P170,1.0,1.0,18042.555486181613,5299.992405737081,89.78639813479667,0.984024582904883,0.987552743999897,0.9559858635515933,True
P171,1.0,1.0,18042.574591390847,5299.807143604799,89.77704975866725,0.9840256248856358,0.9875182239264539,0.9558863282588035,True
P172,1.0,1.0,18042.587138784234,5299.685753416419,89.77110142635715,0.9840263092090707,0.9874956051744913,0.9558229943717305,True
P173,1.0,1.0,18042.610006708408,5299.621406504234,89.76483215385223,0.9840275564048776,0.9874836153517083,0.9557562433268733,True
P174,1.0,1.0,18042.62209055121,5299.440685841271,89.75995653280859,0.9840282154466847,0.9874499414946639,0.9557043309560623,True
P175,1.0,1.0,18042.660855481816,5299.499660525598,89.75521022803972,0.9840303296507785,0.9874609303050009,0.9556537954589558,True
P176,1.0,1.0,18042.69863761841,5299.377742353827,89.74809978194936,0.9840323902541799,0.987438213173379,0.9555780881571023,True
P177,1.0,1.0,18042.715485362787,5299.0052422406625,89.73235828759576,0.9840333091148504,0.9873688048646996,0.9554104831925884,True
P178,1.0,1.0,18042.718167254094,5299.0147109295585,89.73001598812462,0.9840334553827655,0.9873705691747184,0.9553855439453401,True
P179,1.0,1.0,18042.71185920402,5298.945146587549,89.73008841971259,0.984033111347446,0.9873576071831576,0.9553863151487252,True
P180,1.0,1.0,18042.718167254094,5299.0147109295585,89.73001598812462,0.9840334553827655,0.9873705691747184,0.9553855439453401,True
P181,1.0,1.0,18042.723087575218,5298.883612924485,89.72803448952997,0.9840337237326091,0.9873461415558216,0.9553644462659089,True
P182,1.0,1.0,18042.744368282216,5298.882981347305,89.72420944783848,0.9840348843630333,0.9873460238734308,0.955323719765453,True
P183,1.0,1.0,18042.791168858552,5298.638000718024,89.71099301033568,0.9840374368239441,0.9873003763943117,0.9551829999272409,True
P184,1.0,1.0,18042.83066605429,5298.394129947829,89.70006272402465,0.9840395909651128,0.9872549357163162,0.955066621506734,True
P185,1.0,1.0,18042.827203559842,5298.394798669967,89.70121074952677,0.9840394021238116,0.987255060319963,0.9550788449188969,True
P186,1.0,1.0,18042.835444676493,5298.393181765004,89.6996699276323,0.9840398515868259,0.9872547590404873,0.9550624392719398,True
P187,1.0,1.0,18042.845707712157,5298.392890544836,89.69856980066717,0.9840404113234661,0.9872547047771499,0.9550507258515485,True
P188,1.0,1.0,18042.848835258003,5298.392934149054,89.6982974624491,0.984040581896975,0.9872547129019664,0.9550478261752947,True
P189,1.0,1.0,18042.889203288676,5298.149586244034,89.68809584998458,0.9840427835326898,0.9872093696499481,0.9549392061893712,True
P190,1.0,1.0,18042.889898788922,5298.149427619538,89.68795556181009,0.9840428214646413,0.9872093400932913,0.9549377124941744,True
P191,1.0,1.0,18042.889898788922,5298.149427619538,89.68795556181009,0.9840428214646413,0.9872093400932913,0.9549377124941744,True
P192,1.0,1.0,18042.89606250424,5298.210589598853,89.68721637009037,0.9840431576280744,0.9872207364644324,0.954929842072271,True
P193,1.0,1.0,18042.916234038814,5298.101648979651,89.68949589525786,0.9840442577652424,0.9872004374528132,0.954954112940476,True
P194,1.0,1.0,18042.917214187397,5298.029562121167,89.68290736137837,0.9840443112216556,0.9871870054383022,0.9548839626127965,True
P195,1.0,1.0,18042.918414055406,5298.028660040636,89.68211565279479,0.9840443766613666,0.9871868373527587,0.9548755330262481,True
P196,1.0,1.0,18042.91870764842,5298.028295484686,89.68241957486711,0.9840443926736628,0.9871867694246937,0.95487876898638,True
P197,1.0,1.0,18042.92093281522,5298.027544593755,89.68185584058399,0.9840445140322384,0.9871866295104555,0.9548727667185904,True
P198,1.0,1.0,18042.924091608013,5298.033004111276,89.68061481027802,0.9840446863099271,0.9871876467876695,0.95485955305312,True
P199,1.0,1.0,18042.97999204148,5298.0288747954955,89.67948701684602,0.9840477350687779,0.9871868773682407,0.9548475450585865,True
P200,1.0,1.0,18042.99562322841,5297.968330426369,89.6729951606561,0.9840485875795106,0.9871755960770071,0.9547784240906592,True
P201,1.0,1.0,18042.98986439616,5297.784395421542,89.66752759967974,0.9840482734980321,0.9871413232885146,0.9547202091370572,True
P202,1.0,1.0,18043.02518940322,5297.722220022943,89.66278612202207,0.9840502000918212,0.9871297380859716,0.9546697250358209,True
P203,1.0,1.0,18043.04064349331,5297.602673805123,89.65850916017254,0.9840510429438533,0.9871074629228385,0.9546241867900284,True
P204,1.0,1.0,18043.081607379572,5297.735490951483,89.65496343375531,0.9840532770769905,0.9871322108710047,0.9545864342528811,True
P205,1.0,1.0,18043.06274130715,5297.734186243953,89.65661103516705,0.9840522481385422,0.9871319677635806,0.9546039768171348,True
P206,1.0,1.0,18043.09365603516,5297.540123052445,89.65451690441728,0.984053934199719,0.9870958077802047,0.9545816799054111,True
P207,1.0,1.0,18043.09365603516,5297.540123052445,89.65451690441728,0.984053934199719,0.9870958077802047,0.9545816799054111,True
P208,1.0,1.0,18043.095985502747,5297.540353823663,89.65290342549622,0.9840540612467646,0.9870958507800305,0.9545645006547482,True
P209,1.0,1.0,18043.154893578332,5297.297493783687,89.64002603649249,0.9840572740396837,0.9870505984323805,0.9544273907795024,True
P210,1.0,1.0,18043.156091596247,5297.297377688048,89.64011121302474,0.9840573393784923,0.9870505768001671,0.9544282976825795,True
